title,authors,published,DOI,URL,journal,issue,volume,pages,article_type_site,pubmed_pubtypes,abstract_md
"Risk-Based vs Annual Breast Cancer Screening: The WISDOM Randomized Clinical Trial.","Esserman LJ Author; Fiscalini AS Author; Naeim A Author; Van't Veer LJ Author; Kaster A Author; Scheuner MT Author; LaCroix AZ Author; Borowsky AD Author; Anton-Culver H Author; Olopade OI Author; Esserman J Author; Lancaster R Author; Madlensky L Author; Blanco AM Author; Ross KS Author; Goodman DL Author; Tong BS Author; Hogarth M Author; Heditsian D Author; Brain S Author; Lee V Author; Blum K Author; Kim MO Author; Sabacan LP Author; Fergus KB Author; Yau C Author; Park HL Author; Parker BA Author; Kaplan C Author; Rhoads KF Author; Eder S Author; Adduci K Author; Matthews JB Author; Wenger NS Author; Shieh Y Author; Hiatt RA Author; Ziv E Author; Tice JA Author; Eklund M Author","2026 Mar 3","10.1001/jama.2025.24784","https://jamanetwork.com/journals/jama/fullarticle/2842903","JAMA","9","335","763-774","","Comparative Study; Equivalence Trial; Journal Article; Multicenter Study; Pragmatic Clinical Trial; Randomized Controlled Trial","Individual breast cancer risk can guide screening initiation, frequency, use of supplemental imaging, and preventive measures to improve breast cancer screening by shifting resources from low-risk women to high-risk women. To determine whether risk-based breast cancer screening is a feasible alternative to annual mammography. Parallel-group, pragmatic, multicenter randomized clinical trial comparing risk-based (n&#x2009;=&#x2009;14&#x202f;212) with annual (n&#x2009;=&#x2009;14&#x202f;160) breast cancer screening. Women aged 40 to 74 years without prior diagnoses of breast cancer or ductal carcinoma in situ, or prophylactic bilateral mastectomy, were recruited from all 50 US states from September 2016 to February 2023, with follow-up through September 5, 2025 (median follow-up, 5.1 years). Statistical analysis was conducted between July and November 2025. All study procedures were conducted via an online platform. Women who declined randomization were enrolled in an observational cohort. Risk assessment included sequencing of 9 susceptibility genes, polygenic risk score, and the Breast Cancer Surveillance Consortium version 2 model. The risk-based group received 1 of 4 recommendations: (1) highest risk (&#x2265;6% 5-year risk, high-penetrance pathogenic variant): alternating mammography and magnetic resonance imaging (MRI) every 6 months and counseling; (2) elevated risk (top 2.5 risk percentile by age): annual mammography and risk-reduction counseling; (3) average risk: biennial mammography; and (4) low risk (aged 40-49 years and &lt;1.3% 5-year risk): no screening until risk is 1.3% or greater or age 50 years. The coprimary outcomes included noninferiority for stage &#x2265;IIB cancers and superiority in reducing biopsy rates. Secondary outcomes included identification of stage &#x2265;IIA cancers, mammogram rates, uptake of prevention strategies in higher risk cohorts, preference for screening group in the observational cohort, ductal carcinoma in situ, MRI, and stage-specific cancer rates. A total of 28&#x202f;372 women were randomized. The mean (SD) age was 54 (9.6) years and the majority were non-Hispanic White (77%). The rate of stage &#x2265;IIB cancers was noninferior in the risk-based compared with the annual group (risk-based: 30.0 [95% CI, 16.3-43.8] vs annual: 48.0 [95% CI, 30.1-65.5] per 100&#x202f;000 person-years; rate difference, -18.0 per 100&#x202f;000 person-years [95% CI, -40.2 to 4.1]). The rate of breast biopsies was not lower in the risk-based group (rate difference, 98.7 per 100&#x202f;000 person-years [95% CI, -17.9 to 215.3]) despite fewer mammograms (rate difference, -3835.9 [95% CI, -4516.8 to -3154.9]). The cumulative incidence of cancer, biopsy, mammogram, and MRI increased as risk category increased. In the observational cohort, 89% of participants (15&#x202f;980/18&#x202f;031) chose risk based. Risk-based breast cancer screening that includes population-based genetic testing safely stratified risk and screening intensity, but did not reduce biopsy rates. ClinicalTrials.gov Identifier: NCT02620852."
"Precision Immunotherapy to Improve Sepsis Outcomes: The ImmunoSep Randomized Clinical Trial.","Giamarellos-Bourboulis EJ Author; Kotsaki A Author; Kotsamidi I Author; Efthymiou A Author; Koutsoukou V Author; Ehler J Author; Paridou A Author; Frantzeskaki F Author; Müller MCA Author; Pickkers P Author; Meylan S Author; Nikolopoulos I Author; Lupse M Author; Gavala A Author; Vlachogianni G Author; Solomonidi N Author; Alevizou A Author; Kondili E Author; Antoniadou E Author; Nakou M Author; Markou N Author; Hatziagelaki E Author; Prekates A Author; Komnos A Author; Bakkerus L Author; Slim MA Author; Dalekos GN Author; Karapanagiotou A Author; Ktena S Author; De Pascale G Author; Koulouras V Author; Psarrakis C Author; Massa E Author; Dakou K Author; Pazvanti C Author; Ioakeimidou A Author; Tsangaris I Author; Antonakos N Author; Vlaar APJ Author; Anisoglou S Author; Calandra T Author; Papaioannou V Author; Myrianthefs P Author; Patrani M Author; Alamanos I Author; Antonelli M Author; van der Meer JWM Author; van der Poll T Author; Wiersinga WJ Author; Ntaganou M Author; Gkeka E Author; Bauer M Author; Mouloudi E Author; Netea MG Author; ImmunoSep Study Group CollectiveName","2026 Mar 3","10.1001/jama.2025.24175","https://jamanetwork.com/journals/jama/fullarticle/2842634","JAMA","9","335","775-786","","Clinical Trial, Phase II; Journal Article; Multicenter Study; Randomized Controlled Trial","Sepsis is heterogeneous, and the optimal strategy for tailoring immunotherapy is uncertain. To investigate whether precision immunotherapy guided by the presence of macrophage activation-like syndrome or sepsis-induced immunoparalysis improves organ dysfunction by day 9. A randomized, double-blind, double-dummy, placebo-controlled clinical trial conducted in 6 countries. Patients with sepsis, defined by Sepsis-3, were included if they had community-acquired or hospital-acquired pneumonia or ventilator-associated pneumonia or bacteremia and sepsis and had displayed either macrophage activation-like syndrome (blood ferritin &gt;4420 ng/mL) or sepsis-induced immunoparalysis (blood ferritin &#x2264;4420 ng/mL and &lt;5000 human leukocyte antigen DR receptors on CD45/CD14 monocytes). The first patient was enrolled August 5, 2021, and the last follow-up, April 29, 2024. Eligible patients were randomized to receive standard care and precision immunotherapy or standard care and placebo. Those in the precision immunotherapy group with macrophage activation-like syndrome received anakinra intravenously (IV) and placebo subcutaneously, and those with sepsis-induced immunoparalysis received subcutaneous recombinant human interferon gamma and IV placebo. Those in the placebo group received both IV and subcutaneous placebo. Treatment was administered for up to 15 days. The primary end point was a decrease of at least 1.4 points in the mean Sequential Organ Failure Assessment (SOFA) score from baseline by day 9. The SOFA score evaluates 6 organ systems, ranging from 0, no dysfunction, to 4, failure, and the total score ranges from 0, normal, to 24, most severe form of multiorgan failure. Key secondary outcomes included 28-day mortality. Of 672 patients assessed for eligibility, 281 were randomized and 276 were included in the primary analysis population (mean [SD] age, 70 [13] years; 93 females [33.7%]; median baseline SOFA score, 9 [IQR, 7-11]). The SOFA decrease end point was attained by 46 of 131 patients (35.1%) in the precision immunotherapy group and by 26 of 145 patients (17.9%) in the placebo group (difference, 17.2% [95% CI, 6.8% to 27.2%]; P&#x2009;=&#x2009;.002). Mortality at 28 days was not statistically significantly different between groups. A total of 1069 serious treatment-emergent adverse events (88.8%) were reported; increased incidence of anemia was noted in the anakinra group; and hemorrhage in the recombinant human interferon gamma group. Among patients with sepsis, precision immunotherapy targeting macrophage activation-like syndrome and sepsis-induced immunoparalysis improved organ dysfunction by day 9 compared with placebo. ClinicalTrials.gov Identifier: NCT04990232."
"Nirsevimab vs RSVpreF Vaccine for Respiratory Syncytial Virus-Related Hospitalization in Newborns.","Jabagi MJ Author; Bertrand M Author; Gabet A Author; Kolla E Author; Olié V Author; Zureik M Author","2026 Mar 3","10.1001/jama.2025.24082","https://jamanetwork.com/journals/jama/fullarticle/2843212","JAMA","9","335","787-798","","Journal Article; Comparative Study","Respiratory syncytial virus (RSV) is a leading cause of hospitalization in infants. The comparative effectiveness of 2 recently introduced preventive strategies (infant immunization through placental antibody transfer after maternal vaccination with the RSV prefusion F protein [RSVpreF] vaccine and passive infant immunization with nirsevimab) remains unknown. To compare the associations of maternal vaccination with the RSVpreF vaccine vs passive infant immunization with nirsevimab for the prevention of RSV-related hospitalization. This population-based cohort study used data from the French National Health Data System. Maternal vaccination with the RSVpreF vaccine occurred during 32 to 36 weeks' gestation among infants born in mainland France between September 1 and December 31, 2024. Passive infant immunization with nirsevimab occurred prior to hospital discharge. Infants were matched 1:1 by maternity ward discharge date, sex, gestational age, and region. Follow-up ended at the time of RSV hospitalization or death or on February 28, 2025. Maternal immunization with the RSVpreF vaccine and passive infant immunization with nirsevimab. The primary outcome was hospitalization for RSV-associated lower respiratory tract infection. The secondary outcomes included admission to the pediatric intensive care unit (PICU), admission to high-dependency unit, ventilator support, and oxygen therapy. The hazard ratios (HRs) were estimated using conditional Cox proportional hazards models with inverse probability of treatment weighting. A total of 42&#x202f;560 infants (mean age, 3.7 [SD, 1.4] days; 51.7% male) were included in the study (21&#x202f;280 per group) with a median follow-up of 84 days (IQR, 70-99 days). Of the 481 hospitalizations for RSV-associated lower respiratory tract infection, 212 (44.1%) occurred in the nirsevimab group vs 269 (55.9%) in the RSVpreF vaccine group (between-group difference, -11.8% [95% CI, -18.1% to -5.5%]). Compared with the RSVpreF vaccine, passive infant immunization with nirsevimab was associated with a lower risk of hospitalization for RSV-associated lower respiratory tract infection (adjusted HR, 0.74 [95% CI, 0.61 to 0.88]). Compared with the RSVpreF vaccine, passive infant immunization with nirsevimab was associated with a lower risk of severe outcomes, including PICU admission (adjusted HR, 0.58 [95% CI, 0.42 to 0.80]), requiring ventilator support (adjusted HR, 0.57 [95% CI, 0.40 to 0.81]), or requiring oxygen therapy (adjusted HR, 0.56 [95% CI, 0.38 to 0.81]). The results were consistent across subgroups and in the sensitivity analyses. Compared with maternal vaccination with the RSVpreF vaccine, passive infant immunization with nirsevimab was associated with lower risks of RSV-related hospitalization and severe outcomes. These findings reflect the first RSV season with use of these immunization strategies in mainland France; their use should be reevaluated in future studies."
"A Decision-Support System to Personalize Antidepressant Treatment in Major Depressive Disorder: A Randomized Clinical Trial.","Cipriani A Author; Fernandes KBP Author; Mulsant BH Author; Efthimiou O Author; Williams N Author; Mort S Author; Elgarf R Author; Liu Q Author; Haque N Author; Potts J Author; Ede R Author; Fox R Author; Liboni M Author; Nesi Cavicchioli DA Author; Simon J Author; Smith KA Author; Zangani C Author; Li Z Author; Taylor U Author; Husain MI Author; Cipriani M Author; Carpaneze Dalaqua PV Author; Leite EF Author; Aliano Gâmbaro G Author; Nabhan Silveira D Author; Manfredin Vila L Author; Liboni Cavicchioli F Author; Furukawa TA Author; Naci H Author; Ostinelli EG Author; PETRUSHKA Team CollectiveName","2026 Mar 4","10.1001/jama.2026.1327","https://jamanetwork.com/journals/jama/fullarticle/2845910","JAMA","","","","","Journal Article","Antidepressants for moderate to severe major depressive disorder may be discontinued prematurely because the prescribed antidepressant is not always the most appropriate medication for an individual. Guidelines have recommended more precise targeting of antidepressant treatment. To evaluate the efficacy of a web-based tool to personalize antidepressant treatment. This multicenter, randomized clinical trial included persons between the ages of 18 and 74 years with major depressive disorder. The trial was conducted at 47 sites in 3 countries (Brazil, Canada, and the UK). The first participant was screened on November 29, 2022, and the last follow-up visit occurred on January 15, 2025. A total of 540 participants were randomized (1:1) to an evidence-based clinical decision-support system (PETRUSHKA tool; n&#x2009;=&#x2009;271) or usual care (n&#x2009;=&#x2009;269). The primary outcome was treatment discontinuation due to any cause at 8 weeks. The secondary outcomes included treatment discontinuation up to 24 weeks due to adverse events and changes in depressive symptoms (measured with the 9-item Patient Health Questionnaire [PHQ-9]; range, 0-27; higher scores indicate more severe depression) and anxiety symptoms (measured with the 7-item Generalized Anxiety Disorder [GAD-7] questionnaire; range, 0-21; higher scores indicate more severe symptoms). Of the 520 eligible participants, 493 were included in the primary analysis (median age, 35 [IQR, 25 to 48] years; 58% female; PHQ-9 mean score, 16.6 [SD, 5.1]; GAD-7 mean score, 11.5 [SD, 4.1]). At 8 weeks, 41 of 241 participants (17%) in the PETRUSHKA group discontinued the prescribed antidepressant due to any cause vs 69 of 252 (27%) in the usual care group (adjusted relative risk, 0.62 [95% CI, 0.44 to 0.88]; P&#x2009;=&#x2009;.007). At 8 weeks, 22 of 241 participants (9%) in the PETRUSHKA group discontinued the prescribed antidepressant due to adverse events vs 39 of 252 (16%) in the usual care group (adjusted relative risk, 0.59 [95% CI, 0.36 to 0.97]; P&#x2009;=&#x2009;.04). For the assessment of depressive symptoms at 24 weeks, the mean PHQ-9 score was 7.1 (SD, 5.4) in the PETRUSHKA group vs 9.2 (SD, 6.5) in the usual care group (n&#x2009;=&#x2009;129 in each group; adjusted between-group mean difference, -1.92 [95% CI, -3.06 to -0.78]; P&#x2009;&lt;&#x2009;.001). For the assessment of anxiety symptoms at 24 weeks, the mean GAD-7 score was 4.6 (SD, 4.1) in the PETRUSHKA group (n&#x2009;=&#x2009;133) vs 5.8 (SD, 4.9) in the usual care group (n&#x2009;=&#x2009;126) (adjusted between-group mean difference, -1.39 [95% CI, -2.26 to -0.52]; P&#x2009;=&#x2009;.002). Compared with usual care, use of the PETRUSHKA tool increased the number of patients still taking their antidepressant at 8 weeks and improved depressive and anxiety symptoms at 24 weeks. However, lack of a double-blind design and the large amount of missing data limit the validity of these results. ClinicalTrials.gov Identifier: NCT05608330."
"The Hochberg Procedure for the Comparison of Multiple End Points.","Overbey JR Author; Wendelberger B Author; Viele K Author","2026 Mar 5","10.1001/jama.2026.0191","https://jamanetwork.com/journals/jama/fullarticle/2845970","JAMA","","","","","Journal Article","This Guide to Statistics and Methods provides an overview of the Hochberg procedure, an effective tool for avoiding false-positive conclusions in clinical trials reporting multiple end points."
"Vaccine-Elicited Antibody Responses to Influenza A(H3N2) Subclade K.","Wang L Author; Nangle SJ Author; Waller-Pulido A Author; McMahan K Author; Pereira J Author; Chaudhari J Author; Barrett LO Author; Bhowmik R Author; Farrugia K Author; Ramsamooj R Author; Sordillo EM Author; Simon V Author; van Bakel H Author; Mostafa H Author; Pekosz A Author; Collier AY Author; Barouch DH Author","2026 Mar 9","10.1001/jama.2026.2173","https://jamanetwork.com/journals/jama/fullarticle/2846268","JAMA","","","","","Journal Article","This cohort study examines antibody responses to influenza A(H3N2) subclade K and other strains before and after vaccination against influenza."
"Acetaminophen (Paracetamol) or Opioid Analgesia Added to Ibuprofen for Children's Musculoskeletal Injury: Two Randomized Clinical Trials.","Ali S Author; Klassen TP Author; Candelaria P Author; Bhatt M Author; Sawyer S Author; Stang A Author; Yaskina M Author; Heath A Author; Pechlivanoglou P Author; Offringa M Author; Drendel AL Author; Hickes S Author; Poonai N Author; KidsCAN PERC Innovative Pediatric Clinical Trials No OUCH Study Team CollectiveName","2026 Mar 10","10.1001/jama.2025.25033","https://jamanetwork.com/journals/jama/fullarticle/2843665","JAMA","10","335","863-873","","Clinical Trial, Phase II; Equivalence Trial; Journal Article; Multicenter Study; Randomized Controlled Trial","Ibuprofen is first-line therapy for musculoskeletal pain. However, two-thirds of children experience inadequate pain relief with ibuprofen monotherapy, and the efficacy of additive medications for moderate to severe musculoskeletal pain is unclear. To determine whether treatment with an opioid (hydromorphone) plus ibuprofen or nonopioid (acetaminophen [paracetamol]) plus ibuprofen decreased pain scores compared with ibuprofen alone. Two randomized, double-masked, placebo-controlled trials were conducted from April 2019 to March 2023 in 6 university-affiliated, tertiary care Canadian pediatric emergency departments. Children aged 6 to 17 years presenting with a nonoperative acute limb injury (&lt;24 hours) and a verbal numerical rating scale (vNRS) pain score of 5 or more out of 10 were enrolled. Date of final follow-up was March 22, 2023. The opioid trial randomized participants to a single oral dose of ibuprofen plus hydromorphone, ibuprofen plus acetaminophen, or ibuprofen alone. The nonopioid trial randomized participants to a single oral dose of ibuprofen plus acetaminophen or ibuprofen alone. In all groups, ibuprofen was dosed at 10 mg/kg (maximum, 600 mg). The acetaminophen dose was 15 mg/kg (maximum, 1000 mg), and the hydromorphone dose was 0.05 mg/kg (maximum, 5 mg). The primary efficacy outcome was self-reported vNRS pain score at 60 minutes post medication administration (score range, 0 [no pain] to 10 [worst pain]; minimal clinically important difference, 1.5). The primary safety end point was the proportion of children with any adverse event related to study drug administration. A total of 8098 children were screened for eligibility; 699 were randomized and 653 were included in the efficacy analyses. The opioid trial included 249 children: 110 randomized to ibuprofen plus hydromorphone, 70 to ibuprofen plus acetaminophen, and 69 to ibuprofen alone. The nonopioid trial included 450 children: 225 randomized to a single oral dose of ibuprofen plus acetaminophen and 225 randomized to ibuprofen alone. The mean (SD) age of children in the 2 trials was 11.5 (3.5) years and 47.4% were female. The mean (SD) vNRS score at recruitment was 6.4 (1.8). In pooled analyses, mean (SD) vNRS scores 60 minutes after drug administration were 4.8 (2.6) in the ibuprofen plus hydromorphone group, 4.6 (2.4) in the ibuprofen plus acetaminophen group, and 4.6 (2.3) in the ibuprofen alone group (P&#x2009;=&#x2009;.78). Any adverse event occurred at higher rates in the ibuprofen plus hydromorphone group (28.2%) compared with the ibuprofen plus acetaminophen (6.1%) or ibuprofen alone groups (5.8%). No serious adverse events occurred. For children with acute nonoperative musculoskeletal injury, pain scores at 60 minutes after drug administration did not improve with ibuprofen plus acetaminophen or ibuprofen plus hydromorphone compared with ibuprofen alone. Adverse events were 4-fold more frequent with hydromorphone. Clinicaltrials.gov Identifier: NCT03767933."
"Effect of Automated Closed-Loop Ventilation vs Protocolized Conventional Ventilation on Ventilator-Free Days in Critically Ill Adults: A Randomized Clinical Trial.","Sinnige JS Author; Buiteman-Kruizinga LA Author; Horn J Author; Paulus F Author; Schultz MJ Author; Serpa Neto A Author; ACTiVE Investigators and the Protective Ventilation Network CollectiveName","2026 Mar 10","10.1001/jama.2025.24384","https://jamanetwork.com/journals/jama/fullarticle/2842610","JAMA","10","335","874-884","","Equivalence Trial; Journal Article; Multicenter Study; Randomized Controlled Trial","Automated closed-loop ventilation systems continuously adjust ventilator settings based on real-time physiologic feedback and may optimize lung-protective ventilation. Their effect on patient-centered outcomes in critically ill patients receiving ventilation remains uncertain. To determine whether early initiation of automated closed-loop ventilation increases ventilator-free days at day 28 compared with protocolized conventional ventilation. International, multicenter, randomized clinical trial conducted at 7 intensive care units (ICUs) in the Netherlands and Switzerland. Adult patients with less than 1 hour elapsed after initiation of invasive ventilation and expected to require ventilation for 24 hours or longer were enrolled between October 2020 and June 2025, with final follow-up completed at 90 days. Patients were randomly assigned (1:1) to receive automated closed-loop ventilation using INTELLiVENT adaptive support ventilation (n&#x2009;=&#x2009;602) or protocolized conventional ventilation (n&#x2009;=&#x2009;599). Both groups followed standardized ventilation management, sedation, and weaning protocols. The primary outcome was the number of ventilator-free days at day 28, defined as days alive and free from invasive ventilation. Secondary outcomes included mortality, duration of ventilation among survivors, ICU and hospital lengths of stay, and ventilation quality. Safety outcomes included severe hypoxemia, hypercapnia, and need for rescue therapies, including prone positioning, recruitment maneuvers, or bronchoscopy. Among 1514 randomized patients, 1201 (79%) were included in the modified intention-to-treat analysis (36% women; median age, 63 years). The median of ventilator-free days at day 28 was 16.7 days (IQR, 0.0-26.1 days) in the closed-loop ventilation group and 16.3 days (IQR, 0.0-26.5 days) in the conventional ventilation group (odds ratio, 0.91; 95% CI, 0.77-1.06; P&#x2009;=&#x2009;.23). There were no differences between groups in components of the primary outcome, ie, duration of ventilation in survivors and 28-day mortality. There were no differences in secondary outcomes except for ventilation quality, which was higher with closed-loop ventilation. Severe hypercapnia and hypoxemia were less frequent in the closed-loop group, and fewer patients required rescue therapies, primarily prone positioning, compared with the conventional group (non-statistically significant after multiplicity adjustment). Among critically ill adults receiving invasive mechanical ventilation, early use of an automated closed-loop ventilation system did not increase ventilator-free days at day 28 compared with protocolized conventional ventilation. Clinicaltrials.gov Identifier: NCT04593810."
"Hospital Adoption and Pricing for Oncology Biosimilars.","Robinson JC Author; Kosorukov AD Author; Whaley CM Author","2026 Mar 11","10.1001/jama.2026.1777","https://jamanetwork.com/journals/jama/fullarticle/2846346","JAMA","","","","","Journal Article","Many physician-administered oncology biologics are losing patent protection in the coming years and will face competition from biosimilars. Hospitals and insurers share a mutual interest in developing payment methods that share the potential savings from adopting these less costly agents. To test whether hospitals paid lower acquisition prices and earned higher markup margins for physician-administered oncology biosimilars; whether insurers reduced the reimbursement prices they paid to hospitals, thereby sharing in the savings from lower manufacturer prices; and whether reductions in acquisition prices and increases in hospital margins were associated with accelerated adoption of biosimilars. Observational study using 2020-2024 data for patients covered by Blue Cross Blue Shield health insurance, linked to information on drug acquisition prices paid by hospitals to manufacturers; drug reimbursement prices paid by insurers to hospitals; hospital eligibility for federal 340B price discounts; and other hospital, patient, and market characteristics. Biologics and biosimilars acquired by hospitals from manufacturers at one price and reimbursed by private insurers at a higher price. Acquisition prices paid by hospitals to manufacturers, reimbursement prices paid by insurers to hospitals, hospital drug price markup margin, hospital adoption of biosimilars. Between 2020 and 2024 (66&#x202f;139 patients who received oncology biologics and biosimilars in 1541 hospitals), acquisition prices paid by hospitals to drug manufacturers declined by 60%, 72%, and 63% for the biosimilars of bevacizumab, trastuzumab, and rituximab, respectively. The reimbursement prices paid by insurers to hospitals declined more slowly, at 32%, 36%, and 34%, allowing an increase in hospital markup margins. In multivariable regression analyses, each additional dollar of acquisition price was associated with $2.72 in higher hospital reimbursement for bevacizumab (95% CI, $0.51-$4.93), $1.82 for trastuzumab (95% CI, $1.27-2.38), and $2.32 for rituximab (95% CI, $1.56-$3.09). Increases in hospital markup margins were associated with increased adoption of biosimilars, rising from a 32%, 37%, and 18% share of bevacizumab, trastuzumab, and rituximab use in 2020 to 93%, 87%, and 84% by 2024. Hospital price markup margins from the administration of oncology biosimilars have increased over time and have been accompanied by large increases in the utilization of these therapies."
"Tumor Debulking in Combination With Chemotherapy in Multiorgan Metastatic Colorectal Cancer: The ORCHESTRA Randomized Clinical Trial.","Gootjes EC Author; Bakkerus L Author; Adhin AA Author; Zonderhuis BM Author; Versteeg KS Author; Tuynman JB Author; Meijerink MR Author; Haasbeek CJA Author; de Wilt JHW Author; Grunhagen DJ Author; Smit EJ Author; Primrose JM Author; Bridgewater J Author; van Meerten E Author; de Groot JB Author; Hendriks MP Author; Oomen-de Hoop E Author; Buffart TE Author; Verhoef C Author; Verheul HMW Author; ORCHESTRA Study Group CollectiveName","2026 Mar 16","10.1001/jama.2026.1929","https://jamanetwork.com/journals/jama/fullarticle/2846530","JAMA","","","","","Journal Article","Local therapy, including surgery, radiation, and ablation, is increasingly used in patients with multiorgan metastatic colorectal cancer (mCRC). However, prospective evidence for a survival benefit of tumor debulking is lacking. To investigate whether tumor debulking added to palliative chemotherapy improves survival of patients with multiorgan mCRC. This investigator-initiated, open-label, multicenter, randomized clinical trial enrolled patients with multiorgan mCRC between May 2013 and May 2023. The last date of follow-up was April 4, 2024. Patients were enrolled in 27 hospitals in the Netherlands and 1 in the UK. Adult patients with multiorgan mCRC were considered eligible if more than 80% tumor debulking was deemed feasible by resection, radiotherapy, and/or thermal ablation prior to starting first-line palliative chemotherapy. After achieving objective tumor response or stable disease after 3 cycles of capecitabine and oxaliplatin or 4 cycles of 5-fluorouracil and oxaliplatin with or without bevacizumab, patients were randomized 1:1 to receive chemotherapy alone (standard care group) or tumor debulking followed by chemotherapy. The primary end point was overall survival. Secondary end points included progression-free survival and serious adverse events. These outcomes were analyzed in the intention-to-treat population, applicable from randomization. A prespecified interim analysis performed after the initial 100 participants were enrolled revealed that the trial was both safe and feasible to proceed. A total of 382 of 454 enrolled patients were randomized: 192 in the chemotherapy alone group (133 [69%] male) and 190 in the chemotherapy plus tumor debulking group (127 [67%] male). The median age was 64 years in both groups. After a median follow-up of 32.3 months, median overall survival in the chemotherapy alone group was 27.5 months vs 30.0 months in the chemotherapy plus tumor debulking group (adjusted hazard ratio, 0.88 [95% CI, 0.70-1.10]; P&#x2009;=&#x2009;.26). Median progression-free survival in the chemotherapy alone group was 10.4 months vs 10.5 months in the chemotherapy plus tumor debulking group (adjusted hazard ratio, 0.83 [95% CI, 0.67-1.02]; P&#x2009;=&#x2009;.08). More patients in the chemotherapy plus tumor debulking vs chemotherapy alone group had any serious adverse events (101 [53%] vs 74 [39%]; P&#x2009;=&#x2009;.006). Tumor debulking in addition to first-line palliative systemic treatment failed to improve overall survival compared with systemic treatment alone for patients with multiorgan mCRC and should not be considered standard care. ClinicalTrials.gov Identifier: NCT01792934."
